"","Term","College","Course","Catalog","Req_1","Req_2","Avg_enrl","GEcapsize","Avg_capenrl","Crs_section_cnt"
"1","F22","A&H","COMM-1008",1008,"A1","None",25.57,26,24.8095238095238,21
"2","F22","A&H","THTR-1009",1009,"A1","None",25.83,26,26,6
"3","F22","A&H","ENGL-1109",1109,"A2","None",23.18,25,25,34
"4","F22","A&H","PHIL-1019",1019,"A3","None",31.38,35,35,13
"5","F22","A&H","PHIL-2019",2019,"A3","None",23.33,35,35,3
"6","F22","A&H","HIST-1218",1218,"AIAH","None",39.4,45,63,5
"7","F22","A&H","HIST-1228",1228,"AIAH","None",31.5,45,60,6
"8","F22","A&H","ART-1009",1009,"C1","None",35.67,45,36,6
"9","F22","A&H","ART-1019",1019,"C1","None",43.2,85,45,5
"10","F22","A&H","ART-2508",2508,"C1","None",38,45,45,1
"11","F22","A&H","ART-2608",2608,"C1","None",21,45,45,1
"12","F22","A&H","MUS-1019",1019,"C1","None",42.67,85,45,3
"13","F22","A&H","MUS-1039",1039,"C1","None",15,45,45,1
"14","F22","A&H","THTR-1109",1109,"C1","None",14,45,45,1
"15","F22","A&H","THTR-1008",1008,"C1","None",16.4,85,30,5
"16","F22","A&H","THTR-1019",1019,"C1","None",14,85,30,2
"17","F22","A&H","COMM-2518",2518,"C2","None",14,85,40,1
"18","F22","A&H","ENGL-1208",1208,"C2","None",15,85,78,3
"19","F22","A&H","ENGL-2208",2208,"C2","None",40,45,45,1
"20","F22","A&H","ENGL-2518",2518,"C2","None",12,85,49,1
"21","F22","A&H","HIST-1418",1418,"C2","None",41.33,45,75,3
"22","F22","A&H","HIST-1428",1428,"C2","None",28,45,45,1
"23","F22","A&H","MODL-2318",2318,"C2","None",16,85,45,1
"24","F22","A&H","PHIL-1119",1119,"C2","None",27,85,45,1
"25","F22","A&H","PHIL-1319",1319,"C2","None",21,85,45,1
"26","F22","A&H","RS-1108",1108,"C2","None",6,85,45,1
"27","F22","A&H","RS-1128",1128,"C2","None",8,85,45,2
"28","F22","A&H","RS-1138",1138,"C2","None",46,85,45,1
"29","F22","A&H","RS-2108",2108,"C2","None",5,85,45,1
"30","F22","A&H","PHIL-2329",2329,"C2","None",31.5,45,45,2
"31","F22","A&H","COMM-3008",3008,"GWAR","None",21.89,30,30,18
"32","F22","A&H","ENGL-3109",3109,"GWAR","None",29,30,30,15
"33","F22","A&H","HIST-3008",3008,"GWAR","None",24,30,30,2
"34","F22","A&H","ENGL-3119",3119,"GWAR","JYDR",18.55,30,28.9090909090909,11
"35","F22","A&H","COMM-3088",3088,"JYDR","None",38,45,45,1
"36","F22","A&H","PHIL-3548",3548,"JYDR","None",43.5,45,45,2
"37","F22","A&H","RS-3368",3368,"JYDR","None",40,45,45,3
"38","F22","A&H","RS-3388",3388,"JYDR","None",1,45,1,1
"39","F22","A&H","THTR-3128",3128,"JYDR","None",13,45,45,1
"40","F22","A&H","ART-3618",3618,"UDC","None",40,45,45,1
"41","F22","A&H","ART-3648",3648,"UDC","None",41,45,45,2
"42","F22","A&H","COMM-3038",3038,"UDC","None",35,45,37.5,2
"43","F22","A&H","COMM-3058",3058,"UDC","None",44,45,45,1
"44","F22","A&H","COMM-3078",3078,"UDC","None",46,45,45,1
"45","F22","A&H","COMM-3089",3089,"UDC","None",44,45,45,1
"46","F22","A&H","COMM-3098",3098,"UDC","None",42,45,45,1
"47","F22","A&H","ENGL-3248",3248,"UDC","None",42,45,45,1
"48","F22","A&H","HIST-4248",4248,"UDC","None",9,45,45,1
"49","F22","A&H","MUS-3019",3019,"UDC","None",41.5,45,45,2
"50","F22","A&H","PHIL-3318",3318,"GWAR","UDC",46.67,30,45,3
"51","F22","A&H","PHIL-3338",3338,"GWAR","UDC",30.5,30,45,2
"52","F22","A&H","PHIL-3348",3348,"UDC","None",8,45,45,1
"53","F22","A&H","PHIL-3358",3358,"UDC","None",17,45,30,1
"54","F22","A&H","RS-3208",3208,"UDC","None",30,45,67.5,2
"55","F22","A&H","RS-3528",3528,"UDC","None",28,35,40,2
"56","F22","A&H","RS-3538",3538,"UDC","None",20.5,45,45,2
"57","F22","A&H","RS-3548",3548,"UDC","None",27.5,45,45,2
"58","F22","A&H","RS-4518",4518,"UDC","None",25.33,45,45,3
"59","F22","A&H","RS-4528",4528,"UDC","None",45,45,45,1
"60","F22","A&H","THTR-3108",3108,"UDC","None",5,45,35,1
"61","F22","A&H","ENGL-4648",4648,"UDD","None",42,45,45,1
"62","F22","A&H","INST-2329",2329,"C2","None",14,85,45,2
"63","F22","SSE","ETHS-1208",1208,"F","None",34.89,45,35,9
"64","F22","SSE","ETHS-1308",1308,"F","None",44.5,45,45,2
"65","F22","BPA","PPA-2008",2008,"AIGV","None",43.5,45,45,4
"66","F22","BPA","ECON-2018",2018,"DSEM","None",37.67,85,41.6666666666667,3
"67","F22","BPA","ECON-2028",2028,"DSEM","None",33.67,85,48.6666666666667,3
"68","F22","BPA","PPA-4038",4038,"GWAR","None",17,30,30,2
"69","F22","BPA","BA-3008",3008,"JYDR","None",35.33,45,45,6
"70","F22","BPA","ECON-3008",3008,"JYDR","None",50,45,50,1
"71","F22","BPA","BA-3108",3108,"UDD","None",23.25,35,30.625,8
"72","F22","BPA","ECON-3108",3108,"UDD","None",37,35,50,1
"73","F22","BPA","ECON-3118",3118,"UDD","None",18,45,48,1
"74","F22","BPA","ECON-3508",3508,"UDD","None",42,45,50,1
"75","F22","NSM","CHEM-1019",1019,"B1","None",26,85,48,1
"76","F22","NSM","GEOL-1009",1009,"B1","None",58,85,96,2
"77","F22","NSM","GEOL-1209",1209,"B1","None",24,85,24,1
"78","F22","NSM","PHYS-1609",1609,"B1","None",24,85,50,1
"79","F22","NSM","BIOL-1009",1009,"B2","None",59.67,85,80,3
"80","F22","NSM","BIOL-1039",1039,"B2","None",74,85,72,1
"81","F22","NSM","MATH-1209",1209,"B4","None",32.33,35,33.5,6
"82","F22","NSM","GEOL-3339",3339,"UDB","None",21,45,24,1
"83","F22","NSM","SCI-3209",3209,"UDB","None",41,45,45,1
"84","F22","NSM","GEOL-3318",3318,"UDB","None",33.5,45,55.5,6
"85","F22","NSM","GEOL-3328",3328,"UDB","None",72,45,72.2,5
"86","F22","NSM","SCI-3609",3609,"UDB","None",39,45,40,2
"87","F22","NSM","SCI-3639",3639,"UDB","None",40,45,40,1
"88","F22","SS&E","SOC-1018",1018,"A3","None",26,35,35,5
"89","F22","SS&E","PLSI-1018",1018,"AIGV","None",38.69,45,28.8461538461538,13
"90","F22","SS&E","KINE-2018",2018,"B4","None",20.33,35,21.6666666666667,3
"91","F22","SS&E","PSYC-2018",2018,"B4","None",28.17,35,30,6
"92","F22","SS&E","SOC-2208",2208,"B4","None",23.67,35,25,3
"93","F22","SS&E","ANTH-1109",1109,"DSEM","None",11,45,45,1
"94","F22","SS&E","ANTH-1118",1118,"DSEM","None",38,45,45,1
"95","F22","SS&E","ANTH-1318",1318,"DSEM","None",19,85,35,1
"96","F22","SS&E","ANTH-2308",2308,"DSEM","None",24,45,45,1
"97","F22","SS&E","CRJU-1108",1108,"DSEM","None",50.33,85,60,3
"98","F22","SS&E","PSYC-1018",1018,"DSEM","None",49.2,85,50,5
"99","F22","SS&E","SOC-1008",1008,"DSEM","None",37,85,45,3
"100","F22","SS&E","EDSP-3268",3268,"JYDR","None",28,45,30,2
"101","F22","SS&E","EDTE-3308",3308,"JYDR","None",38.6,45,40,10
"102","F22","SS&E","KINE-3338",3338,"JYDR","None",41,45,45,3
"103","F22","SS&E","PSYC-3638",3638,"JYDR","None",40,45,45,2
"104","F22","SS&E","SOC-3208",3208,"JYDR","None",31.4,45,36,5
"105","F22","SS&E","ANTH-3308",3308,"UDD","None",44,45,45,1
"106","F22","SS&E","ANTH-3318",3318,"UDD","None",42,45,45,1
"107","F22","SS&E","CRJU-3318",3318,"UDD","None",29.33,45,30,3
"108","F22","SS&E","CRJU-3448",3448,"UDD","None",30,45,30,3
"109","F22","SS&E","CRJU-3608",3608,"UDD","None",23.67,45,30,3
"110","F22","SS&E","CRJU-4638",4638,"UDD","None",20.33,45,30,3
"111","F22","SS&E","KINE-3118",3118,"UDD","None",16,45,30,2
"112","F22","SS&E","PLSI-3428",3428,"UDD","None",22,45,35,1
"113","F22","SS&E","PLSI-3648",3648,"UDD","None",17,45,35,1
"114","F22","SS&E","SOC-3408",3408,"UDD","None",18,45,20,2
"115","F22","SS&E","SOC-3008",3008,"UDD","None",37,45,30,1
"116","F22","SS&E","PSYC-4358",4358,"UDD","None",47.5,45,47.5,2
"117","S23","A&H","COMM-1008",1008,"A1","None",19.81,26,23.375,16
"118","S23","A&H","THTR-1009",1009,"A1","None",19.33,26,24,3
"119","S23","A&H","ENGL-1109",1109,"A2","None",15.64,25,25,14
"120","S23","A&H","PHIL-1019",1019,"A3","None",30.67,35,35,15
"121","S23","A&H","PHIL-2019",2019,"A3","None",23,35,35,3
"122","S23","A&H","HIST-1218",1218,"AIAH","None",62.8,45,63,5
"123","S23","A&H","HIST-1228",1228,"AIAH","None",44.2,45,63,5
"124","S23","A&H","ART-1009",1009,"C1","None",31.6,45,36,5
"125","S23","A&H","ART-1019",1019,"C1","None",41.67,85,45,6
"126","S23","A&H","ART-2508",2508,"C1","None",18,45,45,1
"127","S23","A&H","ART-2608",2608,"C1","None",26,45,45,1
"128","S23","A&H","ART-2708",2708,"C1","None",13,45,45,1
"129","S23","A&H","MUS-1019",1019,"C1","None",44.67,85,45,3
"130","S23","A&H","MUS-1039",1039,"C1","None",9,45,45,1
"131","S23","A&H","MUS-1049",1049,"C1","None",21,45,45,1
"132","S23","A&H","THTR-1109",1109,"C1","None",5,45,45,1
"133","S23","A&H","THTR-1008",1008,"C1","None",13.5,85,30,4
"134","S23","A&H","COMM-2518",2518,"C2","None",46,85,49,1
"135","S23","A&H","ENGL-1208",1208,"C2","None",29,85,30,1
"136","S23","A&H","ENGL-2308",2308,"C2","None",53,45,54,1
"137","S23","A&H","ENGL-2408",2408,"C2","None",16,45,45,1
"138","S23","A&H","ENGL-2518",2518,"C2","None",38,85,40,1
"139","S23","A&H","HIST-1418",1418,"C2","None",66,45,67.5,2
"140","S23","A&H","HIST-1428",1428,"C2","None",42,45,45,1
"141","S23","A&H","MODL-2318",2318,"C2","None",13,85,45,1
"142","S23","A&H","PHIL-1119",1119,"C2","None",44,85,45,1
"143","S23","A&H","PHIL-1319",1319,"C2","None",45,85,45,1
"144","S23","A&H","RS-1108",1108,"C2","None",32,85,35,1
"145","S23","A&H","RS-1118",1118,"C2","None",13,85,35,1
"146","S23","A&H","RS-1128",1128,"C2","None",29.5,85,45,2
"147","S23","A&H","RS-1138",1138,"C2","None",42,85,45,1
"148","S23","A&H","RS-2108",2108,"C2","None",35,85,35,1
"149","S23","A&H","PHIL-2329",2329,"C2","None",23.33,45,23.6666666666667,3
"150","S23","A&H","COMM-3008",3008,"GWAR","None",20.67,30,30,15
"151","S23","A&H","ENGL-3109",3109,"GWAR","None",29.24,30,30,21
"152","S23","A&H","HIST-3008",3008,"GWAR","None",24,30,30,2
"153","S23","A&H","ENGL-3119",3119,"GWAR","JYDR",21.56,30,30,9
"154","S23","A&H","COMM-3088",3088,"JYDR","None",46,45,45,1
"155","S23","A&H","HIST-3228",3228,"JYDR","None",20,45,22.5,2
"156","S23","A&H","HIST-3458",3458,"JYDR","None",25,45,45,1
"157","S23","A&H","PHIL-3548",3548,"JYDR","None",42.5,45,42.5,2
"158","S23","A&H","RS-3368",3368,"JYDR","None",38,45,38.3333333333333,3
"159","S23","A&H","ART-3618",3618,"UDC","None",43,45,45,1
"160","S23","A&H","ART-3648",3648,"UDC","None",44.5,45,45.5,2
"161","S23","A&H","COMM-3048",3048,"UDC","None",47,45,45,1
"162","S23","A&H","COMM-3058",3058,"UDC","None",40,45,40,1
"163","S23","A&H","COMM-3078",3078,"UDC","None",44.5,45,45,2
"164","S23","A&H","ENGL-3248",3248,"UDC","None",25,45,45,1
"165","S23","A&H","ENGL-4708",4708,"UDC","None",28,45,30,1
"166","S23","A&H","MUS-3019",3019,"UDC","None",41.67,45,45,3
"167","S23","A&H","PHIL-3118",3118,"UDC","None",14,45,45,1
"168","S23","A&H","PHIL-3268",3268,"UDC","None",16,35,35,1
"169","S23","A&H","PHIL-3318",3318,"GWAR","UDC",36.8,30,41,5
"170","S23","A&H","PHIL-3338",3338,"GWAR","UDC",39,30,40,2
"171","S23","A&H","PHIL-3368",3368,"UDC","None",10,45,45,1
"172","S23","A&H","RS-3208",3208,"UDC","None",43,45,57.5,2
"173","S23","A&H","RS-3528",3528,"UDC","None",45.5,35,62.5,2
"174","S23","A&H","RS-3548",3548,"UDC","None",38,45,40,2
"175","S23","A&H","RS-4518",4518,"UDC","None",24,45,38.3333333333333,3
"176","S23","A&H","RS-4528",4528,"UDC","None",19,45,45,2
"177","S23","A&H","THTR-3118",3118,"UDC","None",16,45,45,1
"178","S23","A&H","ENGL-4648",4648,"UDD","None",41,45,45,1
"179","S23","A&H","INST-2329",2329,"C2","None",18.33,85,18.6666666666667,3
"180","S23","SSE","ETHS-1208",1208,"F","None",35.33,45,35,9
"181","S23","SSE","ETHS-1308",1308,"F","None",45,45,45,2
"182","S23","BPA","PPA-2008",2008,"AIGV","None",44,45,45,4
"183","S23","BPA","ECON-2018",2018,"DSEM","None",44.33,85,48.3333333333333,3
"184","S23","BPA","ECON-2028",2028,"DSEM","None",39,85,50,3
"185","S23","BPA","PPA-4038",4038,"GWAR","None",20,30,30,2
"186","S23","BPA","BA-3008",3008,"JYDR","None",31.67,45,33.3333333333333,6
"187","S23","BPA","BA-3108",3108,"UDD","None",34.5,35,35,4
"188","S23","BPA","ECON-3418",3418,"UDD","None",42,45,45,1
"189","S23","BPA","ECON-4108",4108,"UDD","None",17.5,45,17.5,2
"190","S23","BPA","PPA-3408",3408,"UDD","None",15,45,45,1
"191","S23","NSM","CHEM-1009",1009,"B1","None",48,85,48,1
"192","S23","NSM","GEOL-1009",1009,"B1","None",74.5,85,96,2
"193","S23","NSM","GEOL-1209",1209,"B1","None",22,85,24,1
"194","S23","NSM","PHYS-1609",1609,"B1","None",50,85,60,1
"195","S23","NSM","BIOL-1009",1009,"B2","None",95,85,96,2
"196","S23","NSM","BIOL-1039",1039,"B2","None",27,85,48,1
"197","S23","NSM","MATH-1209",1209,"B4","None",20,35,35,5
"198","S23","NSM","BIOL-3318",3318,"UDB","None",33,45,35,1
"199","S23","NSM","SCI-3209",3209,"UDB","None",41,45,45,1
"200","S23","NSM","GEOL-3318",3318,"UDB","None",62.2,45,75.4,5
"201","S23","NSM","GEOL-3328",3328,"UDB","None",64.83,45,61.6666666666667,6
"202","S23","NSM","SCI-3639",3639,"UDB","None",45,45,53,1
"203","S23","NSM","MATH-3209",3209,"UDD","None",34,45,35,1
"204","S23","SS&E","SOC-1018",1018,"A3","None",24,35,35,5
"205","S23","SS&E","PLSI-1018",1018,"AIGV","None",30.89,45,29.5555555555556,9
"206","S23","SS&E","PSYC-2018",2018,"B4","None",21.86,35,30,7
"207","S23","SS&E","SOC-2208",2208,"B4","None",20.67,35,25,3
"208","S23","SS&E","ANTH-1208",1208,"DSEM","None",51,85,60,1
"209","S23","SS&E","ANTH-1318",1318,"DSEM","None",55,85,60,1
"210","S23","SS&E","CRJU-1108",1108,"DSEM","None",39,85,45,2
"211","S23","SS&E","PSYC-1018",1018,"DSEM","None",71.75,85,75,4
"212","S23","SS&E","SOC-1008",1008,"DSEM","None",33.33,85,45,3
"213","S23","SS&E","ETHS-1208",1208,"F","None",35.33,45,35,9
"214","S23","SS&E","EDSP-3268",3268,"JYDR","None",33.33,45,33.3333333333333,3
"215","S23","SS&E","EDTE-3308",3308,"JYDR","None",34.29,45,40,7
"216","S23","SS&E","KINE-3338",3338,"JYDR","None",43,45,45,3
"217","S23","SS&E","PSYC-3638",3638,"JYDR","None",50,45,45,1
"218","S23","SS&E","SOC-3208",3208,"JYDR","None",28.14,45,34.2857142857143,7
"219","S23","SS&E","ANTH-3308",3308,"UDD","None",39,45,45,1
"220","S23","SS&E","ANTH-3318",3318,"UDD","None",23,45,45,1
"221","S23","SS&E","CRJU-3318",3318,"UDD","None",30,45,30,3
"222","S23","SS&E","CRJU-3448",3448,"UDD","None",29.67,45,30,3
"223","S23","SS&E","CRJU-3608",3608,"UDD","None",25,45,30,3
"224","S23","SS&E","CRJU-4638",4638,"UDD","None",23,45,24,2
"225","S23","SS&E","KINE-3118",3118,"UDD","None",24,45,45,2
"226","S23","SS&E","PLSI-3248",3248,"UDD","None",20,45,35,1
"227","S23","SS&E","PLSI-3428",3428,"UDD","None",15,45,35,1
"228","S23","SS&E","PLSI-3648",3648,"UDD","None",16.5,45,17.5,2
"229","S23","SS&E","SOC-3408",3408,"UDD","None",14.33,45,25,3
"230","S23","SS&E","SOC-3658",3658,"UDD","None",38,45,40,1
"231","S23","SS&E","SOC-4008",4008,"UDD","None",8,45,40,1
"232","S23","SS&E","SOC-4038",4038,"UDD","None",21,45,22.5,2
"233","S23","SS&E","SOC-4068",4068,"UDD","None",10,45,40,1
"234","S23","SS&E","PSYC-4358",4358,"UDD","None",96,45,100,1
"235","F23","A&H","COMM-1008",1008,"A1","None",25.47,26,25.5789473684211,19
"236","F23","A&H","THTR-1009",1009,"A1","None",24.57,26,26,7
"237","F23","A&H","ENGL-1109",1109,"A2","None",22.06,25,25,34
"238","F23","A&H","PHIL-1019",1019,"A3","None",33.21,35,35.1428571428571,14
"239","F23","A&H","PHIL-2019",2019,"A3","None",18.67,35,35,3
"240","F23","A&H","HIST-1218",1218,"AIAH","None",45.33,45,66.6666666666667,6
"241","F23","A&H","HIST-1228",1228,"AIAH","None",27.8,45,63,5
"242","F23","A&H","ART-1009",1009,"C1","None",33.75,45,36,4
"243","F23","A&H","ART-1019",1019,"C1","None",43.86,85,45.1428571428571,7
"244","F23","A&H","ART-2508",2508,"C1","None",12,45,45,1
"245","F23","A&H","ART-2608",2608,"C1","None",23,45,45,1
"246","F23","A&H","ART-2708",2708,"C1","None",10,45,45,1
"247","F23","A&H","MUS-1019",1019,"C1","None",43.5,85,45,2
"248","F23","A&H","MUS-1039",1039,"C1","None",21,45,45,1
"249","F23","A&H","THTR-1008",1008,"C1","None",19.6,85,30,5
"250","F23","A&H","THTR-1019",1019,"C1","None",15,85,30,1
"251","F23","A&H","COMM-2518",2518,"C2","None",24,85,43,1
"252","F23","A&H","ENGL-1208",1208,"C2","None",19,85,78,2
"253","F23","A&H","ENGL-2308",2308,"C2","None",44,45,45,1
"254","F23","A&H","ENGL-2518",2518,"C2","None",10,85,42,1
"255","F23","A&H","HIST-1418",1418,"C2","None",60,45,67.5,2
"256","F23","A&H","HIST-1428",1428,"C2","None",25,45,45,1
"257","F23","A&H","PHIL-1119",1119,"C2","None",43,85,45,1
"258","F23","A&H","PHIL-1319",1319,"C2","None",27,85,45,1
"259","F23","A&H","RS-1108",1108,"C2","None",35,85,35,1
"260","F23","A&H","RS-1128",1128,"C2","None",25,85,45,2
"261","F23","A&H","RS-1138",1138,"C2","None",34,85,35,1
"262","F23","A&H","RS-2018",2018,"C2","None",18,85,45,1
"263","F23","A&H","RS-2108",2108,"C2","None",39,85,40,1
"264","F23","A&H","PHIL-2329",2329,"C2","None",21.5,45,20,2
"265","F23","A&H","PHIL-3318",3318,"GWAR","UDC",24.29,30,25.7142857142857,7
"266","F23","A&H","COMM-3008",3008,"GWAR","None",21.5,30,30.3571428571429,14
"267","F23","A&H","ENGL-3109",3109,"GWAR","None",28.81,30,30,16
"268","F23","A&H","HIST-3008",3008,"GWAR","None",19.5,30,30,2
"269","F23","A&H","ENGL-3119",3119,"GWAR","JYDR",22.33,30,25.5555555555556,9
"270","F23","A&H","COMM-3088",3088,"JYDR","None",45,45,45,1
"271","F23","A&H","PHIL-3548",3548,"JYDR","None",44.5,45,45,2
"272","F23","A&H","RS-3368",3368,"JYDR","None",27,45,42.5,4
"273","F23","A&H","THTR-3138",3138,"JYDR","None",17,45,45,1
"274","F23","A&H","ART-3618",3618,"UDC","None",38,45,45,1
"275","F23","A&H","ART-3648",3648,"UDC","None",42.5,45,45,2
"276","F23","A&H","COMM-3038",3038,"UDC","None",36.33,45,43.3333333333333,3
"277","F23","A&H","COMM-3058",3058,"UDC","None",37,45,45,1
"278","F23","A&H","COMM-3078",3078,"UDC","None",46,45,45,1
"279","F23","A&H","COMM-3089",3089,"UDC","None",38,45,40,1
"280","F23","A&H","COMM-3098",3098,"UDC","None",42,45,45,1
"281","F23","A&H","ENGL-3248",3248,"UDC","None",23,45,45,1
"282","F23","A&H","ENGL-4708",4708,"UDC","None",12,45,30,1
"283","F23","A&H","HIST-4528",4528,"UDC","None",32,45,45,2
"284","F23","A&H","MUS-3019",3019,"UDC","None",26,45,45,2
"285","F23","A&H","PHIL-3258",3258,"UDC","None",25,45,35,1
"286","F23","A&H","PHIL-3338",3338,"GWAR","UDC",45,30,45,2
"287","F23","A&H","PHIL-3358",3358,"UDC","None",40,45,45,1
"288","F23","A&H","RS-3208",3208,"UDC","None",73,45,80,1
"289","F23","A&H","RS-3528",3528,"UDC","None",43,35,45,1
"290","F23","A&H","RS-3538",3538,"UDC","None",17.5,45,45,2
"291","F23","A&H","RS-3548",3548,"UDC","None",12.5,45,40,2
"292","F23","A&H","RS-4518",4518,"UDC","None",22,45,35,3
"293","F23","A&H","RS-4528",4528,"UDC","None",74,45,80,1
"294","F23","A&H","THTR-3108",3108,"UDC","None",12,45,35,1
"295","F23","A&H","ENGL-4648",4648,"UDD","None",39,45,45,1
"296","F23","A&H","INST-2329",2329,"C2","None",15,85,15,2
"297","F23","BPA","PPA-2008",2008,"AIGV","None",28.75,45,35,8
"298","F23","BPA","ECON-2018",2018,"DSEM","None",47.33,85,50.3333333333333,3
"299","F23","BPA","ECON-2028",2028,"DSEM","None",40,85,48,3
"300","F23","BPA","PPA-4038",4038,"GWAR","None",18.5,30,30,2
"301","F23","BPA","BA-3008",3008,"JYDR","None",29.86,45,34.2857142857143,7
"302","F23","BPA","ECON-3008",3008,"JYDR","None",51,45,50,1
"303","F23","BPA","BA-3108",3108,"UDD","None",29.88,35,30.625,8
"304","F23","BPA","ECON-3108",3108,"UDD","None",50,35,50,1
"305","F23","BPA","ECON-3508",3508,"UDD","None",29,45,50,1
"306","F23","BPA","PPA-3408",3408,"UDD","None",8,45,35,1
"307","F23","NSM","CHEM-1019",1019,"B1","None",8,85,48,1
"308","F23","NSM","GEOL-1009",1009,"B1","None",66.5,85,72,2
"309","F23","NSM","GEOL-1209",1209,"B1","None",48,85,48,1
"310","F23","NSM","PHYS-1609",1609,"B1","None",20,85,24,1
"311","F23","NSM","BIOL-1009",1009,"B2","None",103,85,108,2
"312","F23","NSM","BIOL-1039",1039,"B2","None",96,85,120,1
"313","F23","NSM","MATH-1209",1209,"B4","None",33,35,35,5
"314","F23","NSM","CHEM-3908",3908,"GWAR","None",14,30,15,1
"315","F23","NSM","PH-3218",3218,"JYDR","None",34,45,36,1
"316","F23","NSM","GEOL-3318",3318,"UDB","None",27.33,45,66.6666666666667,6
"317","F23","NSM","GEOL-3328",3328,"UDB","None",48.5,45,65,2
"318","F23","NSM","BIOL-3318",3318,"UDB","None",45,45,48,1
"319","F23","NSM","SCI-3109",3109,"UDB","None",8,45,17.5,2
"320","F23","NSM","SCI-3209",3209,"UDB","None",25,45,25,1
"321","F23","NSM","SCI-3609",3609,"UDB","None",18,45,30,1
"322","F23","NSM","SCI-3639",3639,"UDB","None",33,45,33,2
"323","F23","NSM","MATH-3209",3209,"UDD","None",24,45,25,1
"324","F23","SS&E","SOC-1018",1018,"A3","None",30,35,35,2
"325","F23","SS&E","PLSI-1018",1018,"AIGV","None",32.92,45,38.0833333333333,12
"326","F23","SS&E","KINE-2018",2018,"B4","None",33,35,35,1
"327","F23","SS&E","PSYC-2018",2018,"B4","None",23.62,35,24,8
"328","F23","SS&E","SOC-2208",2208,"B4","None",24,35,25,2
"329","F23","SS&E","ANTH-1109",1109,"DSEM","None",10,45,60,1
"330","F23","SS&E","ANTH-1118",1118,"DSEM","None",34,45,60,1
"331","F23","SS&E","ANTH-1318",1318,"DSEM","None",6,85,60,1
"332","F23","SS&E","ANTH-2128",2128,"DSEM","None",32,85,45,1
"333","F23","SS&E","CRJU-1108",1108,"DSEM","None",47.5,85,45,2
"334","F23","SS&E","PSYC-1018",1018,"DSEM","None",53,85,60,5
"335","F23","SS&E","SOC-1008",1008,"DSEM","None",28,85,45,3
"336","F23","SS&E","ETHS-1208",1208,"F","None",34.58,45,35,12
"337","F23","SS&E","ETHS-1308",1308,"F","None",45.5,45,45,2
"338","F23","SS&E","EDSP-3268",3268,"JYDR","None",30.67,45,32,3
"339","F23","SS&E","EDTE-3308",3308,"JYDR","None",38.1,45,39,10
"340","F23","SS&E","KINE-3338",3338,"JYDR","None",41.67,45,45,3
"341","F23","SS&E","PSYC-3638",3638,"JYDR","None",44.5,45,45,2
"342","F23","SS&E","SOC-3208",3208,"JYDR","None",29,45,35.5,6
"343","F23","SS&E","ANTH-3308",3308,"UDD","None",35,45,35,1
"344","F23","SS&E","ANTH-3318",3318,"UDD","None",16,45,35,1
"345","F23","SS&E","CRJU-3318",3318,"UDD","None",30,45,30,3
"346","F23","SS&E","CRJU-3448",3448,"UDD","None",30,45,30,3
"347","F23","SS&E","CRJU-3608",3608,"UDD","None",22.33,45,30,3
"348","F23","SS&E","CRJU-4638",4638,"UDD","None",22.33,45,29.6666666666667,3
"349","F23","SS&E","KINE-3118",3118,"UDD","None",30,45,48,1
"350","F23","SS&E","PLSI-3428",3428,"UDD","None",29,45,35,1
"351","F23","SS&E","PLSI-3648",3648,"UDD","None",11,45,35,1
"352","F23","SS&E","PSYC-3658",3658,"UDD","None",39,35,45,1
"353","F23","SS&E","SOC-3408",3408,"UDD","None",21.5,45,22.5,2
"354","F23","SS&E","SOC-3658",3658,"UDD","None",38,45,40,1
"355","F23","SS&E","SOC-4038",4038,"UDD","None",43,45,45,1
"356","F23","SS&E","SOC-3008",3008,"UDD","None",34,45,35,1
